comp_name,duplicate_name
5hgg_T|A,5hgg_S|B
5tru_H+L|C,5tru_h+l|c
6hx4_H+L|B,6hx4_I+M|A
4etq_H+L|C,4etq_A+B|X
5o1r_H+L|A,5o1r_I+M|B
4ogx_H+L|A,4ogy_H+L|A
4ogx_H+L|A,4ogy_M+N|B
1g7l_B+A|C,1vfb_B+A|C
1g7l_B+A|C,1g7i_B+A|C
1g7l_B+A|C,1a2y_B+A|C
1g7l_B+A|C,1g7m_B+A|C
1g7l_B+A|C,1g7h_B+A|C
1g7l_B+A|C,1bvk_B+A|C
1g7l_B+A|C,1g7j_B+A|C
1g7l_B+A|C,1kir_B+A|C
1g7l_B+A|C,1bvk_E+D|F
1g7l_B+A|C,1kip_B+A|C
1mlc_B+A|E,1mlc_D+C|F
3l5w_B+A|J,3l5x_H+L|A
3l5w_B+A|J,3l5w_H+L|I
6a4k_I+M|B,6a4k_H+L|A
6a4k_I+M|B,6a4k_J+N|C
6a4k_I+M|B,6a4k_K+O|D
6cwg_D|C,6cwg_B|A
4m7l_H+L|T,5w06_H+L|T
5ggr_H+L|Z,5ggr_A+B|Y
6s3t_R+Q|B,6s3t_N+M|A
6s3t_R+Q|B,6s3t_D+C|S
6s3t_R+Q|B,6s3t_E+I|T
1ahw_E+D|F,1ahw_B+A|C
5vl3_A+B|R,5vl3_H+L|Q
5vl3_A+B|R,5vl3_C+D|S
5vl3_A+B|R,5vl3_E+F|T
6bpc_B+C|A,6bpc_E+F|D
1xgr_B+A|C,1nby_B+A|C
1xgr_B+A|C,1xgq_B+A|C
1xgr_B+A|C,1dqj_B+A|C
1xgr_B+A|C,1nbz_B+A|C
1xgr_B+A|C,1xgt_B+A|C
1xgr_B+A|C,1xgu_B+A|C
1xgr_B+A|C,1xgp_B+A|C
2nz9_D+C|A,2nz9_F+E|B
5jmo_C|A,5jmo_D|B
5vco_B+A|F,5vco_D+C|E
5vco_B+A|F,4pp2_D+C|E
5vco_B+A|F,4pp2_B+A|F
4s10_A|C,4s10_B|D
1a2y_B+A|C,1vfb_B+A|C
1a2y_B+A|C,1g7i_B+A|C
1a2y_B+A|C,1g7l_B+A|C
1a2y_B+A|C,1g7m_B+A|C
1a2y_B+A|C,1g7h_B+A|C
