comp_name,duplicate_name
1xgr_B:A|C,1xgp_B:A|C
2nz9_D:C|A,2nz9_F:E|B
5vco_B:A|F,5vco_D:C|E
5vco_B:A|F,4pp2_D:C|E
5vco_B:A|F,4pp2_B:A|F
6niu_F:G|B,6niu_I:J|A
6niu_F:G|B,6niu_H:L|Z
6niu_F:G|B,6niu_M:N|E
1a2y_B:A|C,1vfb_B:A|C
1a2y_B:A|C,1g7i_B:A|C
1a2y_B:A|C,1g7l_B:A|C
1a2y_B:A|C,1g7m_B:A|C
1a2y_B:A|C,1g7h_B:A|C
1a2y_B:A|C,1bvk_B:A|C
1a2y_B:A|C,1g7j_B:A|C
1a2y_B:A|C,1kir_B:A|C
1a2y_B:A|C,1fdl_H:L|Y
1a2y_B:A|C,1bvk_E:D|F
1a2y_B:A|C,1kip_B:A|C
1nby_B:A|C,1xgr_B:A|C
1nby_B:A|C,1xgq_B:A|C
1nby_B:A|C,1dqj_B:A|C
1nby_B:A|C,1nbz_B:A|C
1nby_B:A|C,1xgt_B:A|C
1nby_B:A|C,1xgu_B:A|C
1nby_B:A|C,1xgp_B:A|C
1g7m_B:A|C,1vfb_B:A|C
1g7m_B:A|C,1g7i_B:A|C
1g7m_B:A|C,1g7l_B:A|C
1g7m_B:A|C,1a2y_B:A|C
1g7m_B:A|C,1g7h_B:A|C
1g7m_B:A|C,1bvk_B:A|C
1g7m_B:A|C,1g7j_B:A|C
1g7m_B:A|C,1kir_B:A|C
1g7m_B:A|C,1fdl_H:L|Y
1g7m_B:A|C,1bvk_E:D|F
1g7m_B:A|C,1kip_B:A|C
6rcv_J:I|F,6rcu_E:D|A
6rcv_J:I|F,6rcv_E:D|A
6mfp_C:D|A,6mfp_H:L|G
5vl3_C:D|S,5vl3_H:L|Q
5vl3_C:D|S,5vl3_E:F|T
1g7h_B:A|C,1vfb_B:A|C
1g7h_B:A|C,1g7i_B:A|C
1g7h_B:A|C,1g7l_B:A|C
1g7h_B:A|C,1a2y_B:A|C
1g7h_B:A|C,1g7m_B:A|C
1g7h_B:A|C,1bvk_B:A|C
1g7h_B:A|C,1g7j_B:A|C
1g7h_B:A|C,1kir_B:A|C
1g7h_B:A|C,1fdl_H:L|Y
1g7h_B:A|C,1bvk_E:D|F
1g7h_B:A|C,1kip_B:A|C
4g6j_H:L|A,5bvp_H:L|I
3jab_H:L|C,3jab_Q:R|O
3hi6_H:L|A,3hi6_X:Y|B
3ulv_H:L|A,3ulu_H:L|A
1xgq_B:A|C,1xgr_B:A|C
1xgq_B:A|C,1nby_B:A|C
1xgq_B:A|C,1dqj_B:A|C
1xgq_B:A|C,1nbz_B:A|C
1xgq_B:A|C,1xgt_B:A|C
1xgq_B:A|C,1xgu_B:A|C
1xgq_B:A|C,1xgp_B:A|C
6s3t_D:C|S,6s3t_N:M|A
6s3t_D:C|S,6s3t_R:Q|B
6s3t_D:C|S,6s3t_E:I|T
3l5x_H:L|A,3l5w_B:A|J
3l5x_H:L|A,3l5w_H:L|I
6rcv_H:G|F,6rcv_C:B|A
3hi6_X:Y|B,3hi6_H:L|A
5gs0_D:C|A,3ulu_D:C|A
5gs0_D:C|A,5gs0_F:E|B
5gs0_D:C|A,3ulv_D:C|A
6bpc_E:F|D,6bpc_B:C|A
1dqj_B:A|C,1xgr_B:A|C
1dqj_B:A|C,1nby_B:A|C
1dqj_B:A|C,1xgq_B:A|C
1dqj_B:A|C,1nbz_B:A|C
1dqj_B:A|C,1xgt_B:A|C
1dqj_B:A|C,1xgu_B:A|C
1dqj_B:A|C,1xgp_B:A|C
5o1r_I:M|B,5o1r_H:L|A
6nip_A:B|E,6nip_H:L|Z
1p2c_B:A|C,1p2c_E:D|F
1bvk_B:A|C,1vfb_B:A|C
1bvk_B:A|C,1g7i_B:A|C
1bvk_B:A|C,1g7l_B:A|C
1bvk_B:A|C,1a2y_B:A|C
1bvk_B:A|C,1g7m_B:A|C
1bvk_B:A|C,1g7h_B:A|C
1bvk_B:A|C,1g7j_B:A|C
1bvk_B:A|C,1kir_B:A|C
1bvk_B:A|C,1fdl_H:L|Y
1bvk_B:A|C,1bvk_E:D|F
1bvk_B:A|C,1kip_B:A|C
1nbz_B:A|C,1xgr_B:A|C
1nbz_B:A|C,1nby_B:A|C
1nbz_B:A|C,1xgq_B:A|C
1nbz_B:A|C,1dqj_B:A|C
1nbz_B:A|C,1xgt_B:A|C
1nbz_B:A|C,1xgu_B:A|C
1nbz_B:A|C,1xgp_B:A|C
3bt2_H:L|U,2fd6_H:L|U
1g7j_B:A|C,1vfb_B:A|C
1g7j_B:A|C,1g7i_B:A|C
1g7j_B:A|C,1g7l_B:A|C
1g7j_B:A|C,1a2y_B:A|C
1g7j_B:A|C,1g7m_B:A|C
1g7j_B:A|C,1g7h_B:A|C
1g7j_B:A|C,1bvk_B:A|C
1g7j_B:A|C,1kir_B:A|C
1g7j_B:A|C,1fdl_H:L|Y
1g7j_B:A|C,1bvk_E:D|F
1g7j_B:A|C,1kip_B:A|C
2nz9_F:E|B,2nz9_D:C|A
1s78_D:C|A,1s78_F:E|B
1s78_D:C|A,6oge_C:B|A
3rvx_D:C|A,3rvw_D:C|A
3rvx_D:C|A,5vpg_D:C|A
